n_particles,iteration, n_points, error
3,5000,1000.0,9.115023419713323
5,5000,1000.0,4.509102611840428e-05
10,5000,1000.0,2.4538180029644595e-05
20,5000,1000.0,4.463903889972346e-05
50,5000,1000.0,2.7829093207179233e-05
100,5000,1000.0,1.3979860505992235e-05
3,5000,500.0,23.021710005941063
5,5000,500.0,0.00015323907697166063
10,5000,500.0,7.49957557383131e-05
20,5000,500.0,5.7938578801532615e-05
50,5000,500.0,5.740730157217742e-05
100,5000,500.0,1.9996620820442383e-05
3,5000,200.0,93.56821513399301
5,5000,200.0,0.0011673478513759652
10,5000,200.0,0.00027233850307477537
20,5000,200.0,0.0003607188687272686
50,5000,200.0,0.0002563133101928384
100,5000,200.0,8.761737584182202e-05
3,5000,100.0,202.2734781669712
5,5000,100.0,0.0009353061489336134
10,5000,100.0,0.0013219989193624514
20,5000,100.0,0.00033434559209160816
50,5000,100.0,0.0012870165876327723
100,5000,100.0,0.0005524600726259257
3,5000,40.0,49841.012754678115
5,5000,40.0,0.005626611644103492
10,5000,40.0,0.00744162167152107
20,5000,40.0,0.0018193862764544317
50,5000,40.0,0.0037418362134916147
100,5000,40.0,0.0015647897612691146
3,5000,20.0,266642.5509346797
5,5000,20.0,0.04286965808559473
10,5000,20.0,0.007566235212067243
20,5000,20.0,0.012689156063151344
50,5000,20.0,0.009543676685017493
100,5000,20.0,0.0029071052361835012
3,5000,10.0,182033.32962447766
5,5000,10.0,0.04417072301632392
10,5000,10.0,0.03728347632188194
20,5000,10.0,0.048025294680446105
50,5000,10.0,0.02389094853685906
100,5000,10.0,0.015061671367744962
